STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
20903,Latrobe Regional Hospital,REGIONAL BUS,146.470309,-38.218914
20916,Trentham Milk Bar/Market St,REGIONAL BUS,144.322911,-37.389574
21188,Scott St/Lyle St,REGIONAL BUS,142.395424,-36.253337
21708,Horsham Station/Railway Ave ,REGIONAL BUS,142.200784,-36.707790
21710,Nowa Nowa/Princes Hwy,REGIONAL BUS,148.089191,-37.733903
22086,Falls Rd/Pack Rd,REGIONAL BUS,145.747136,-37.510883
22087,Buxton Rise/Maroondah Hwy,REGIONAL BUS,145.708796,-37.423151
22088,Buxton Rise/Maroondah Hwy,REGIONAL BUS,145.708983,-37.422126
22089,3321 Maroondah Hwy,REGIONAL BUS,145.712105,-37.323564
22090,3313 Maroondah Hwy,REGIONAL BUS,145.712359,-37.323873
22091,Perkins St/Grant St,REGIONAL BUS,145.709077,-37.190962
22092,Taggerty-Thornton Rd/Goulburn Valley Hwy,REGIONAL BUS,145.797680,-37.254646
22093,Taggerty-Thornton Rd/Goulburn Valley Hwy,REGIONAL BUS,145.797532,-37.254744
22094,Eildon SC/Main St,REGIONAL BUS,145.909664,-37.232629
22613,Longerenong Rd/Henty Hwy,REGIONAL BUS,142.255097,-36.661141
22694,Corryong Newsagency/Murray Valley Hwy,REGIONAL BUS,147.904806,-36.195798
22695,Miners Rest Tavern/Howe St,REGIONAL BUS,143.801280,-37.481040
22697,Learmonth General Store/Sunraysia Hwy,REGIONAL BUS,143.713471,-37.420838
22698,Laidlaw St/Sunraysia Hwy,REGIONAL BUS,143.714003,-37.420547
22699,Hall St/Sunraysia Hwy,REGIONAL BUS,143.638045,-37.358178
22700,Hall St/Sunraysia Hwy,REGIONAL BUS,143.637783,-37.357720
22703,Quire Rd/Buchan Rd,REGIONAL BUS,148.124491,-37.544866
22704,Quire Rd/Buchan South Rd,REGIONAL BUS,148.125234,-37.546130
22706,Buchan - Orbost Rd/Buchan Rd,REGIONAL BUS,148.172240,-37.498723
22707,Gormandale - Stradbroke Rd/Hyland Hwy,REGIONAL BUS,146.701585,-38.294344
22854,Baringhup Caravan Park/Baringhup Rd,REGIONAL BUS,143.974740,-36.979465
22855,Tulloch Ard Rd/Gelantipy Rd,REGIONAL BUS,148.263184,-37.227423
22856,W Tree Co-op/Gelantipy Rd,REGIONAL BUS,148.225381,-37.358326
22857,Lake Bunga Beach Rd/Princes Hwy,REGIONAL BUS,148.028260,-37.860856
22859,Carinya Lodge/Carinya Cres,REGIONAL BUS,145.811525,-38.437994
22860,IGA Supermarket/1 South Railway Cres,REGIONAL BUS,145.825996,-38.433733
22863,Nalder Dr/Werrill St,REGIONAL BUS,143.557859,-35.359955
22871,Tobin St/Montgomery St,REGIONAL BUS,142.920717,-37.294240
22872,Port Fairy Rd/Montgomery St,REGIONAL BUS,142.924028,-37.294525
22875,Vanstan St/High St St,REGIONAL BUS,142.917652,-37.285667
22876,Brewster Rd/High St,REGIONAL BUS,142.915306,-37.286108
22878,Mackay St/Henderson St,REGIONAL BUS,142.915387,-37.281895
22886,Mudgegonga Primary School/Myrtleford - Yackandandah Rd,REGIONAL BUS,146.837172,-36.489953
22939,Fifth St/Hepburn Springs Rd,REGIONAL BUS,144.138554,-37.318365
22940,Mineral Springs Cres/Main Rd,REGIONAL BUS,144.138416,-37.310099
22948,Mt Egerton General Store/Main Rd,REGIONAL BUS,144.104774,-37.627042
22949,Oasis Village/Cobram - Koonoomoo Rd,REGIONAL BUS,145.635859,-35.916457
22963,Blacks Lane/Hopkins Hwy,REGIONAL BUS,142.620809,-38.279656
22964,Tomlinsons Lane/Hopkins Hwy,REGIONAL BUS,142.657675,-38.220722
22965,Ellerslie - Panmure Rd/Hopkins Hwy,REGIONAL BUS,142.685128,-38.149351
22976,Bendigo Bank/Maurice Ave,REGIONAL BUS,149.757707,-37.557577
22977,Township/Gipsy Point Rd,REGIONAL BUS,149.679312,-37.480419
22978,McMillan St/George St,REGIONAL BUS,142.034726,-37.744010
22980,South West TAFE/200 Ballarat Rd ,REGIONAL BUS,142.058637,-37.743747
22981,Hamilton Base Hospital/Foster St,REGIONAL BUS,142.029581,-37.737201
22982,Lonsdale St/McIntyre St,REGIONAL BUS,142.017599,-37.744573
22983,McPhee St/Kenny St,REGIONAL BUS,142.007756,-37.735655
22984,Kent Rd/Hammond St ,REGIONAL BUS,142.006318,-37.726859
22986,Kent Rd/Gordon St,REGIONAL BUS,142.019201,-37.728153
22988,Garton St/Learmonth St,REGIONAL BUS,142.028383,-37.737312
22989,Monegeetta Milk Bar/Melbourne-Lancefield Rd,REGIONAL BUS,144.749290,-37.413955
22994,Chemist/Federal St,REGIONAL BUS,141.993917,-35.898088
22995,Woods St/Byrne St,REGIONAL BUS,142.053019,-35.769792
22996,Roy St/Dimboola - Rainbow Rd,REGIONAL BUS,141.988317,-36.142373
22997,Tarranyurk West Rd/Dimboola - Rainbow Rd,REGIONAL BUS,142.034213,-36.208948
22998,Antwerp Woorak Rd/Dimboola - Rainbow Rd,REGIONAL BUS,142.025463,-36.297719
23030,Williamson St/Sunraysia Hwy,REGIONAL BUS,143.514971,-37.274770
23031,Williamson St/Sunraysia Hwy,REGIONAL BUS,143.514603,-37.274444
23034,Maroona General Store/Mortlake - Ararat Rd,REGIONAL BUS,142.859315,-37.440604
23179,Havelock St/Neill St,REGIONAL BUS,143.381544,-37.429530
23202,Aquamoves/Tom Collins Dr,REGIONAL BUS,145.394445,-36.386027
23253,Australia Post/Mollison St,REGIONAL BUS,144.453435,-37.247805
23254,Roderick St/High St,REGIONAL BUS,144.348207,-37.138329
23255,Elphinstone Hotel/14 Wright St,REGIONAL BUS,144.332553,-37.103292
23256,Pitman St/Main Rd,REGIONAL BUS,144.266749,-37.081336
23259,Princes Hwy/Regent St,REGIONAL BUS,142.228914,-38.380528
23324,Milk Bar/Wangaratta - Whitfield Rd,REGIONAL BUS,146.378876,-36.575785
23325,Edi Cheshunt Rd/Wangaratta - Whitfield Rd,REGIONAL BUS,146.421549,-36.647758
23326,King Valley Primary School/Wangaratta - Whitfield Rd,REGIONAL BUS,146.416806,-36.701003
23327,Valley View Dr/Wangaratta - Whitfield Rd,REGIONAL BUS,146.414534,-36.764420
23328,Edi Cheshunt Rd/King Valley Rd,REGIONAL BUS,146.430489,-36.799267
23513,Castlemaine Hospital/Cornish St,REGIONAL BUS,144.212414,-37.054586
23514,Anslow St/High St,REGIONAL BUS,144.528379,-37.356228
23515,Campbells Creek Post Office/Main Rd,REGIONAL BUS,144.203696,-37.093599
2574,Tarrington Lutheran School/Hamilton Hwy,REGIONAL BUS,142.094411,-37.766074
2624,Camperdown Station/Longmore St ,REGIONAL BUS,143.150667,-38.228865
2627,Colac Station/Gellibrand St ,REGIONAL BUS,143.586405,-38.342569
266,Bells Rd/Glenelg Hwy,REGIONAL BUS,143.768954,-37.596612
27640,Gilbert Cres/Henty Hwy,REGIONAL BUS,142.205395,-36.737362
27641,Mclean Dr/River Rd,REGIONAL BUS,142.202477,-36.730517
27642,Bolton St/Ocallaghans Pde,REGIONAL BUS,142.202861,-36.721121
27643,Guide & Scout Hall Reserve/Baillie St,REGIONAL BUS,142.194213,-36.711811
